,decade,text
1082,1999,Genie in a Bottle I feel like been up tight For a century of for someone to me You're your and my way But that don't mean give it away baby Oh Oh If you be with me a price to pay a genie in a bottle You rub me the right way If you be with me I can make your wish come true You make a big impression like what you do a genie in a baby You rub me the right honey a genie in a baby come on and let me out The and the down low Just one more dance and then we're good to go for someone who me at the speed of light But that don't mean be tonight baby Oh If you be with me a price to pay a genie in a bottle You rub me the right way If you be with me I can make your wish come true Just come and set me baby And be with you a genie in a baby You rub me the right honey a genie in a baby come on and let me out a genie in a baby rub me the right honey a genie in a baby come on and let me out Oh Oh If you be with me a price to pay a genie in a bottle You rub me the right way If you be with me I can make your wish come true You make a big impression like what you do If you be with me a price to pay a genie in a bottle You rub me the right way If you be with me I can make your wish come true Just come and set me baby And be with you a genie in a baby come on and let me
1083,1999,Scar Tissue Scar tissue that I wish you saw Sarcastic Close your and kiss you with the share With the share this view With the share this view push me up against the wall Young girl in a all over myself To lick your heart and taste your With the share this view With the share this view With the share this view Blood loss in a bathroom stall A southern girl with a scarlet drawl I wave to Ma and Pa with the share With the share this view With the share this view with a broken jaw Step but not to brawl and we call it fall make it to the moon if I have to crawl and With the share this view With the share this view With the share this view Scar tissue that I wish you saw Sarcastic Close your and kiss you with the share With the share this view With the share this view With the share this view
1084,1999,All I Had Here I am Broken Quiet Here I am Alone again And I need her now To hold my hand all I had all I had the way she me feel the only thing real the way she my my friend And when I look into her the way I feel inside Like the man I be all need So much time So much pain But one thing That still The the way she The love we And through it all always been there all I had all I had the way she me feel the only thing real the way she my my friend And when I look into her the way I feel inside Like the man I be all need all I had the way she me feel the only thing real the way she my my friend And when I look into her the way I feel inside Like the man I want to be all need the way she me feel the only thing real the way she my my friend And when I look into her the way I feel inside Like the man I want to be all need Here I
1085,1999,mi Tonight we dance I lay my life in your We take the floor Nothing is forbidden Don't let the world in Don't let a moment go by Nothing can stop us tonight Let the rhythm take you live this night We can make it so sure I won't let it go There is something I think you should know I won't be your side We're dance through the night I want to reach for the Let the rhythm take you live this night tonight we dance like no tomorrow if you will stay with me mi Let the rhythm take you live this night Let the rhythm take you live this night
1087,1999,Summer I like it when the stop by in the summer Do you do you When we met that New On The Block had a bunch of food me sick And I think fly when stop by For the for the summer I like that wear take her if I had one wish But been gone since that since that summer Hip Met you one summer and it all began You're the best girl that I did see The great Jersey When you take a you buzz like a hornet Billy wrote a whole bunch of Call me Whistle I can't baby in your drove me crazy Now I can't forget you and it me mad Left one day and never came back all then went back home was in Home Alone Fell deep in but now we ain't Fox was When I met I said my name is Rich You look like a girl from New On The Block had a bunch of food me sick And I think fly when stop by For the for the summer I like that wear take her if I had one wish But been gone since that since that summer Cherry Coke Rock Boogie to hate so I had to play Always been hip to the style Known to act wild and make a girl smile Love New Edition and the Candy Girl me of you you rock my world You come from where the grow They drink lemonade and speak real slow You love hip hop and rock and roll Dad took off when you were four old There was a good man Revere I feel much when you're near You love Fun Dip and Cherry Coke I like the way you laugh when I tell a joke When I met I said my name was Rich You like a girl from New On The Block had a bunch of food me sick And I think fly when stop by For the for the summer I like that wear take her if I had one wish But been gone since that since that summer In the got it on Shake and wiggle to a hip hop song Summertime are the kind I like steal your like I stole your bike Shrimp and pogo My mind me back there oh so quick Let you off the like my man Limpet Think about that summer and I bug I miss it I like The and cheese Ruby red and a bunch of Call you but the I like but I hate Came in the I said it before I think over but not sure When I met I said my name was Rich You like a girl From New On The Block had a bunch of food me sick And I think fly when stop by For the for the summer I like that wear take her if I had one wish But been gone since that since that summer Summer come and summer go Some are and some are Summer come and summer go Some are and some are Summertime got it on Shake and wiggle to a hip hop song Summertime are the kind I like steal your honey like I stole your bike New On The Block had a bunch of food me sick And I think fly when stop by For the for the summer I like that wear take her if I had one wish But been gone since that since that
1088,1999,If You Had My Love If you had my and I gave you all my trust Would you comfort And if somehow you knew that your love would be Would you lie to me and call me if I give you this is how got to be First of I won't take you on me Tell who can I trust if I can't trust in And I to let you play me for a fool You said that we could spend eternity what you told what you said But if you want you have to be all my If you want If you had my and I gave you all my trust Would you comfort Would you comfort Tell baby And if somehow you knew that your love would be yeah Would you lie to me and call me You said you want my love and you've got to have it all But there are some you need to know If you live with all I have to give I need to feel true love or got to yeah I don't want you to get with me And I end up I don't need the hurt and I don't need the pain So before I do give myself to you I have to know the truth If I spend my life with you If you had my and I gave you all my trust Would you comfort What would you Tell me right now And if somehow you knew that your love would be Would you lie to me and call me If you had my and I gave you all my trust What would you Would you comfort And if somehow you knew that your love would be Would you lie to me and call me yeah If you had my and I gave you all my trust Would you comfort And if somehow you knew that your love would be Would you lie to me and call me If you had my and I gave you all my trust Would you comfort And if somehow you knew that your love would be Would you lie to me and call me If you had my and I gave you all my trust Would you comfort And if somehow you knew that your love would be Would you lie to me and call me
1089,1999,At we out real cool me I ain't never been But you're Ain't those you did no more You're me pay for Your money should be And now you ask to use my car Drive it all day and don't fill up the tank And you have the audacity To even come and step to me and Ask to hold some money from me Until you get check next week You type of brother Silly why haven't I found A when get hard I need someone to help me out Instead of a scrub like you Who don't know what a about Can you pay my Can you pay my telephone Do you pay my If you then maybe we could chill I don't think you do you and me are through Can you pay my Can you pay my telephone Do you pay my If you then maybe we could chill I don't think you do you and me are through Now you've been out my Gave me bad me with my own Haven't paid the first bill But you're steady to the mall on to your like you be And then you use my whoever that you at home And when the bill All of a you be dumb Don't know where none of these come from When your here more than once You type of brother Silly why haven't I found A when get hard I need someone to help me out Instead of a scrub like you Who don't know what a about Can you pay my Can you pay my telephone Do you pay my If you then maybe we could chill I don't think you do you and me are through Can you pay my Can you pay my telephone Do you pay my If you then maybe we could chill I don't think you do you and me are through You type of brother Oh silly why haven't I found You type of brother Oh silly why haven't I found You type of brother Oh silly why haven't I found You type of brother Oh silly why haven't I found Can you pay my Can you pay my telephone Do you pay my If you then maybe we could chill I don't think you do you and me are through Can you pay my Can you pay my telephone Do you pay my If you then maybe we could chill I don't think you do you and me are through Can you pay my Can you pay my telephone Do you pay my If you then maybe we could chill I don't think you do you and me are through Can you pay my Can you pay my telephone Do you pay my If you then maybe we could chill I don't think you do you and me are through Thou
1090,1999,Last Kiss Oh oh where can my baby The Lord took her away from me gone to so I got to be good So I can see my baby when I leave this world We were out on a date in my car We hadn't driven very far There in the straight ahead A car was the engine was dead I couldn't so I to the right never forget the sound that night The the glass The painful scream that I heard last Oh oh where can my baby The Lord took her away from me gone to so I got to be good So I can see my baby when I leave this world When I woke the rain was down There were people all around Something warm through my But somehow I found my baby that night I her she at me and said just a little I held her I her our last kiss I found the love that I knew I would miss But now even though I hold her tight I lost my my life that night Oh oh where can my baby The Lord took her away from me gone to so I got to be good So I can see my baby when I leave this world
1091,1999,Tell Me Real Tell me real This that we feel Tell me that real Don't let love come just to pass us by Try all we have to do up to me and you To make this special love last forever more you told me that you love me and you'd never leave my side Through the through the thick and thin You that you wasn't you did keep it let me know just how you feel Tell me real This that we feel Tell me that real Don't let love come just to pass us by Try all we have to do up to me and you To make this special love last forever more I can't explain the way you make me feel that you tell me that you love me And you know you so many Just when I thought that love could never be a part of me when you came along And me you are the best I think you're different from the rest I love you Tell me real This that we feel Tell me that real Don't let love come just to pass us by Try all we have to do up to me and you To make this special love last forever more Tell me real This that I feel Tell me real For your love I will do anything Tell me real This that we feel Tell me that real Don't let love come just to pass us by Try all we have to do up to me and you To make this special love last forever more Do you love Do you You that You'd never leave my you that you'd always be there And told me take it slow Boy you just don't know Anything about love If you and I were meant to be You would know It would show By the end of the
1092,1999,Fortunate Never seen a sun shine like this Never seen the moon glow like this Never seen the like this Never seen the off like this Never dug anyone like this Never had tasty to kiss Never had someone to miss Never wrote a song quite like this Fortunate to have you girl so glad you're in my world Just as sure as the sky is blue I bless the day that I found you Never had room service all night Never took a trip first class flight Never had a love affair so tight never felt a so right Never seen a winter so white Never had to Never had a flame to ignite And I never sang a song with all my might child hope you hear out to your body Baby you know just what to do Close the door no interlude
1093,1999,Not But Okay you and your went out to oh Then they hung out But you came home around three you did If six of went ah Then four of you were yeah only two of you had I found your credit card receipt not but okay make it anyway Pack your up and leave Don't you dare come back to me not but okay make it anyway Close the door behind leave your key rather be alone than yeah pack a bag so you can leave town for a week I am The phone and then you look at me you turn and look at You said it was one of your down on boy So why did show up on your Oh been through all of this before been through all this before So how could you think Don't think about don't think about it That I would stand around and take some Get get gone are change are baby I won't be a fool You don't stand no boy why you have to leave I said yeah So don't turn around to see my face Don't you turn around no more left here for you to see Was it worth you out like on And I to turn yeah all of this time I thought I had somebody down for It you were a fool of oh not but okay ha make it anyway Make it anyway Pack your up and leave Pack your get out and leave Don't you dare come back to me Don't you back to boy not but okay not okay make it anyway ah Close the door behind leave your key Close the and leave your key rather be alone than rather be alone than oh not but okay not baby make it anyway I can pay my own rent Pack your up and leave Pay my light take care of my Don't you dare come back to me not but okay lord make it anyway Get up and leave Close the door behind leave your key Yeah yeah yeah yeah yeah rather be alone than rather be alone than not but okay be okay be make it anyway be okay be Pack your up and leave be okay be Don't you dare come back to me not but okay be okay be make it anyway be okay be Close the door behind leave your key be okay be rather be alone than not but okay make it anyway Pack your up and leave Don't you dare come back to me not but okay make it anyway Close the door behind leave your key rather be alone than not but okay make it
1094,1999,Kiss Me Kiss me out of the barley beside the green grass swing the step You wear those and I will wear that oh Kiss me beneath the milky twilight Lead me out on the moonlit floor Lift your open strike up the band And make the silver So kiss me Kiss me down by the broken tree house Swing me upon tire bring your hat We'll take the trail on your map Kiss me beneath the milky twilight Lead me out on the moonlit floor Lift your open strike up the band And make the silver So kiss me Kiss me beneath the milky twilight Lead me out on the moonlit floor Lift your open strike up the band And make the silver So kiss me So kiss me So kiss me So kiss
1095,1999,The Thing yeah yeah We both know that I shouldn't be here This is wrong you Both of us to be strong got somewhere else to be to keep Someone else who me And me fast asleep made up my mind There is no back been good to me And she than that the thing have to do To look you in the and tell you I don't love you the thing have to lie To show no emotion when you start to cry I can't let you see what you mean to me When my are and my not free We're not meant to be the thing have to do To turn around and walk away I don't love you I know that we'll meet again Fate has a place and time So you can get on with your life got to be cruel to be kind Like All my love be And you will never know there can be no happy the thing have to do To look you in the and tell you I don't love you the thing have to lie To show no emotion when you start to cry I can't let you see what you mean to me When my are and my not free We're not meant to be the thing have to do To turn around and walk away I don't love you Maybe another another day As much as I want I can't stay made up my mind There is no back been good to me And she than that the thing have to do To look you in the and tell you I don't love you the thing have to lie To show no emotion when you start to cry I can't let you see what you mean to me When my are and my not free We're not meant to oh no the thing have to do To turn around and walk away I don't love
